1st,Babylon,247
2nd,Nantucket,247
3rd,Mountain View,240
4th,New York City,236
5th,San Francisco,232
6th,Hilton Head Island,229
7th,Berkeley,224
8th,Walnut Creek,221
9th,Oakland,214
10th,Montclair,213
11th,Jersey City,211
12th,Washington D.C.,207
13th,San Jose,196
14th,Los Angeles,196
15th,Boston,195
16th,Honolulu,193
17th,Seattle,193
18th,Chicago,192
19th,San Diego,192
20th,Santa Barbara,189
21st,Long Beach,187
22nd,Miami,186
23rd,Maui,186
24th,Denver,184
25th,Irvine,184
26th,Cocoa Beach,183
27th,Boulder,177
28th,Sacramento,175
29th,Portland,174
30th,Laguna Niguel,174
31st,Anchorage,171
32nd,Newark,165
33rd,Philadelphia,164
34th,Charlotte,162
35th,Orlando,160
36th,Austin,160
37th,Pittsburgh,158
38th,Minneapolis - St. Paul,158
39th,Baltimore,158
40th,Fort Worth,158
41st,Salt Lake City,156
42nd,Burlington,154
43rd,Dallas,154
44th,Atlanta,153
45th,Charleston,153
46th,Providence,153
47th,Kodiak,153
48th,Tampa,152
49th,Santa Fe,151
50th,New Orleans,151
51st,Phoenix,149
52nd,Raleigh,149
53rd,Vancouver,147
54th,Nashville,147
55th,Pensacola,147
56th,Harrisburg,147
57th,Colorado Springs,147
58th,Las Vegas,147
59th,Provo,146
60th,St. Louis,146
61st,Riverside,145
62nd,Detroit,145
63rd,Cleveland,144
64th,Ithaca,144
65th,Houston,143
66th,Jacksonville,142
67th,Asheville,141
68th,Spokane,140
69th,Indianapolis,139
70th,Milwaukee,139
71st,Lubbock,139
72nd,Kansas City,138
73rd,Shreveport,138
74th,Charlottesville,137
75th,Rochester,136
76th,Modesto,136
77th,Fargo,136
78th,Tallahassee,136
79th,Green Bay,135
80th,Athens,135
81st,Omaha,134
82nd,San Antonio,133
83rd,Columbus,131
84th,Tucson,130
85th,Cincinnati,130
86th,Louisville,130
87th,Lawrence,130
88th,Boise,130
89th,Corpus Christi,128
90th,Roanoke,128
91st,Oklahoma City,128
92nd,Albuquerque,127
93rd,Erie,127
94th,Lincoln,124
95th,Memphis,124
96th,Huntsville,123
97th,Florence,121
98th,Greensboro,119
99th,Cedar Rapids,116
100th,San Antonio,116
101st,Springfield,113
102nd,Youngstown,113
